X_Value,Untitled,Untitled1
0.026500,17.201501,1.888919
0.026600,17.360407,3.986825
0.026700,17.423969,0.331383
0.026800,17.423969,0.331383
0.026900,16.979033,0.490315
0.027000,15.962035,5.735080
0.027100,15.962035,1.984279
0.027200,16.661221,0.490315
0.027300,17.964249,0.394956
0.027400,20.379618,0.490315
0.027500,17.455750,0.394956
0.027600,17.233282,0.522102
0.027700,17.201501,0.490315
0.027800,17.106157,0.617461
0.027900,17.328626,0.426743
0.028000,17.106157,0.108878
0.028100,17.106157,0.553888
0.028200,19.966463,0.458529
0.028300,17.074376,0.617461
0.028400,17.106157,0.204237
0.028500,17.233282,0.490315
0.028600,17.201501,1.253190
0.028700,17.010814,1.602841
0.028800,17.042595,0.935326
0.028900,17.169720,-2.084387
0.029000,17.137938,-2.211533
0.029100,16.979033,0.394956
0.029200,17.010814,0.426743
0.029300,17.233282,0.394956
0.029400,17.932468,0.426743
0.029500,15.294630,0.426743
0.029600,17.233282,0.363170
0.029700,15.993816,0.426743
0.029800,17.169720,0.522102
0.029900,17.010814,0.490315
0.030000,16.915470,0.013519
0.030100,16.915470,0.490315
0.030200,17.169720,0.394956
0.030300,16.947251,0.490315
0.030400,17.074376,0.522102
0.030500,16.979033,0.426743
0.030600,16.915470,0.490315
0.030700,16.343409,0.649248
0.030800,16.979033,0.426743
0.030900,16.947251,-0.018268
0.031000,16.883689,0.140664
0.031100,16.979033,2.047852
0.031200,16.693002,1.030685
0.031300,16.851908,0.744607
0.031400,16.788346,-0.781143
0.031500,16.915470,-2.561184
0.031600,16.756564,0.331383
0.031700,16.470534,0.458529
0.031800,19.743995,0.426743
0.031900,19.299058,0.458529
0.032000,15.421755,1.316763
0.032100,27.435039,0.363170
0.032200,16.216284,0.426743
0.032300,16.025597,0.490315
0.032400,17.042595,0.331383
0.032500,16.788346,0.299597
0.032600,16.788346,0.553888
0.032700,16.947251,0.490315
0.032800,16.788346,0.394956
0.032900,16.820127,0.426743
0.033000,16.724783,-0.018268
0.033100,16.820127,0.331383
0.033200,16.915470,0.649248
0.033300,16.915470,0.299597
0.033400,17.042595,-0.240773
0.033500,16.724783,-0.208986
0.033600,16.820127,1.348550
0.033700,16.565877,0.681034
0.033800,16.724783,1.857133
0.033900,16.883689,3.287523
0.034000,16.915470,-0.113627
0.034100,16.947251,-0.431492
0.034200,16.915470,0.490315
0.034300,16.311628,0.458529
0.034400,16.724783,0.426743
0.034500,16.693002,0.236024
0.034600,16.979033,0.490315
0.034700,19.934682,0.331383
0.034800,4.711500,0.522102
0.034900,16.470534,0.490315
0.035000,16.724783,0.426743
0.035100,16.756564,0.458529
0.035200,16.788346,0.617461
0.035300,16.851908,0.458529
0.035400,17.137938,0.331383
0.035500,16.661221,0.458529
0.035600,16.756564,0.331383
0.035700,16.788346,0.299597
0.035800,16.883689,0.649248
0.035900,17.265063,0.839966
0.036000,11.735139,-0.940075
0.036100,16.693002,-0.908288
0.036200,16.788346,0.108878
0.036300,16.820127,1.761774
0.036400,17.519313,3.827893
0.036500,16.915470,0.363170
0.036600,17.042595,0.363170
0.036700,17.042595,0.458529
0.036800,15.962035,0.553888
0.036900,17.710000,3.351096
0.037000,18.123155,-1.353299
0.037100,18.123155,0.522102
0.037200,18.726997,0.331383
0.037300,15.326412,0.394956
0.037400,17.423969,0.553888
0.037500,16.629440,0.458529
0.037600,16.724783,0.394956
0.037700,16.216284,0.394956
0.037800,16.661221,0.458529
0.037900,16.629440,0.553888
0.038000,16.565877,0.490315
0.038100,16.597659,0.426743
0.038200,16.693002,0.331383
0.038300,16.661221,0.871753
0.038400,16.025597,0.744607
0.038500,16.788346,-0.431492
0.038600,16.406971,0.903539
0.038700,16.470534,-0.208986
0.038800,16.470534,0.967112
0.038900,16.693002,0.617461
0.039000,16.724783,0.522102
0.039100,16.883689,0.394956
0.039200,16.343409,0.363170
0.039300,15.453536,0.426743
0.039400,17.646437,0.617461
0.039500,16.597659,0.426743
0.039600,17.964249,0.331383
0.039700,19.140152,0.394956
0.039800,16.534096,4.304690
0.039900,15.580661,-21.315190
0.040000,16.502315,0.681034
0.040100,16.629440,0.458529
0.040200,16.470534,0.458529
0.040300,16.470534,0.490315
0.040400,16.979033,0.426743
0.040500,16.438753,0.363170
0.040600,16.375190,9.358735
0.040700,16.534096,0.585675
0.040800,16.534096,0.649248
0.040900,16.279847,-0.685783
0.041000,16.502315,-1.830096
0.041100,16.565877,0.871753
0.041200,16.279847,1.602841
0.041300,15.834910,3.891466
0.041400,17.265063,0.649248
0.041500,16.629440,0.394956
0.041600,16.597659,0.458529
0.041700,16.311628,0.363170
0.041800,3.249566,0.458529
0.041900,17.074376,0.553888
0.042000,16.406971,0.617461
0.042100,17.868905,0.363170
0.042200,19.553308,0.426743
0.042300,16.375190,34.183954
0.042400,16.025597,0.363170
0.042500,16.375190,0.363170
0.042600,16.438753,0.553888
0.042700,16.343409,7.229043
0.042800,16.311628,0.394956
0.042900,16.089160,0.426743
0.043000,16.248066,0.299597
0.043100,16.279847,0.236024
0.043200,16.343409,0.522102
0.043300,16.343409,0.617461
0.043400,16.629440,-0.145414
0.043500,16.375190,-1.544017
0.043600,16.343409,-0.558637
0.043700,16.438753,-0.208986
0.043800,16.248066,3.478242
0.043900,16.025597,1.030685
0.044000,16.343409,0.363170
0.044100,16.534096,0.553888
0.044200,16.756564,0.394956
0.044300,15.644223,0.331383
0.044400,16.693002,0.522102
0.044500,15.326412,0.299597
0.044600,15.739567,0.331383
0.044700,15.993816,0.426743
0.044800,16.216284,0.426743
0.044900,16.216284,0.490315
0.045000,16.279847,0.426743
0.045100,16.406971,0.458529
0.045200,16.438753,0.585675
